key	en	de	nl	fr	ru	es	pt	it	zh-Hans	ja	ko	ar	th	vi	tr	pl	ms	id
app_title	TSC Event Survey - 2025.12	TSC-Ereignisumfrage - 2025.12	TSC-evenementenqu?te - 2025.12	Sondage d’?v?nement TSC - 2025.12	Опрос мероприятия TSC ? 2025.12	Encuesta de evento TSC - 2025.12	Pesquisa de Evento TSC - 2025.12	Sondaggio Evento TSC - 2025.12	TSC 活??卷 - 2025.12	TSC イベントアンケート - 2025.12	TSC ??? ?? - 2025.12	??????? ?????? TSC - 2025.12	??????????? TSC - 2025.12	Kh?o s?t s? ki?n TSC - 2025.12	TSC Etkinlik Anketi - 2025.12	Ankieta wydarzenia TSC - 2025.12	Tinjauan Acara TSC - 2025.12	Survei Acara TSC - 2025.12
note_schedule	"The schedule is just a general guideline, and actual times may vary depending on the situation."	"Die Zeiten dienen nur als grobe Richtlinie, und die tats?chlichen Startzeiten k?nnen je nach Situation abweichen."	Het schema is slechts een globale richtlijn en de werkelijke tijden kunnen afhankelijk van de situatie vari?ren.	L’horaire constitue seulement une indication g?n?rale et les heures r?elles peuvent varier selon la situation.	"Расписание является лишь общим ориентиром, фактическое время может меняться в зависимости от ситуации."	El horario es solo una gu?a general y los horarios reales pueden variar seg?n la situaci?n.	O cronograma ? apenas uma refer?ncia geral e os hor?rios reais podem variar conforme a situa??o.	La pianificazione ? solo una linea guida generale e gli orari effettivi possono variare a seconda della situazione.	??安排??大致参考，???始??可能会根据情况有所??。	これらの時間帯は目安であり、実際のイベント開始時間は状況に応じて前後する場合があります。	??? ???? ???? ??? ?? ??? ??? ?? ??? ? ????.	?????? ?????? ?? ???? ????? ??? ??? ????? ??????? ??????? ??? ??????.	????????????????????????????? ? ??????????????????????????????????????????	"L?ch tr?nh ch? l? h??ng d?n chung, th?i gian th?c t? c? th? thay ??i t?y t?nh hu?ng."	"Program yaln?zca genel bir k?lavuzdur, ger?ek saatler duruma ba?l? olarak de?i?ebilir."	"Harmonogram jest jedynie og?ln? wytyczn?, a rzeczywiste godziny mog? si? r??ni? w zale?no?ci od sytuacji."	"Jadual ini hanyalah panduan umum, masa sebenar mungkin berbeza bergantung pada keadaan."	Jadwal ini hanya panduan umum dan waktu sebenarnya dapat berubah tergantung situasi.
btn_submit	Submit	Absenden	Verzenden	Envoyer	Отправить	Enviar	Enviar	Invia	提交	送信	??	?????	???	g?i	Kaydet / G?nder	Wy?lij	Hantar	Kirim
btn_next	Next	Weiter	Volgende	Suivant	Далее	Siguiente	Pr?ximo	Avanti	下一へ	次へ	??	??????	?????	Ti?p theo	Sonraki	Dalej	Seterusnya	Selanjutnya
btn_back	Back	Zur?ck	Terug	Retour	Назад	Atr?s	Voltar	Indietro	返回	戻る	??	????	????????	Quay l?i	Geri	Wstecz	Kembali	Kembali
msg_success	Thank you for your submission!	Vielen Dank f?r Ihre Teilnahme!	Bedankt voor je inzending!	Merci pour votre participation !	Спасибо за ваш ответ!	?Gracias por tu respuesta!	Obrigado pela sua resposta!	Grazie per la tua risposta!	感??的填写！	ご回答ありがとうございます！	??? ??? ?????!	????? ????????!	??????????????????????????!	C?m ?n b?n ?? tr? l?i!	Kat?l?m?n?z i?in te?ekk?rler!	Dzi?kujemy za wype?nienie ankiety!	Terima kasih atas jawapan anda!	Terima kasih atas tanggapan Anda!
opt_anytime	Anytime	Jederzeit	Altijd	? tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	いつでも可	いつでも	??? ???	?? ?? ???	??????????	B?t k? l?c n?o	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja
opt_any_day	Any day	Jeder Tag	Elke dag	N’importe quel jour	Любой день	Cualquier d?a	Qualquer dia	Qualsiasi giorno	どの曜日でも	どの曜日でも	?? ????	?? ???	?????????	V?o b?t k? ng?y n?o	Herhangi bir g?n	Dowolny dzie?	Apa-apa hari	Hari apa saja
opt_na	N/A	nicht zutreffend	n.v.t.	sans objet	нет данных	No aplica	N/A	Non applicabile	不?用	該当なし	?? ??	??? ?????	?????	Kh?ng ?p d?ng	Ge?erli de?il	Nie dotyczy	Tidak berkenaan	Tidak berlaku
																		
q01_title	Please enter your player name.	Bitte gib deinen Spielernamen ein.	Voer je spelersnaam in.	Veuillez saisir votre nom de joueur.	"Пожалуйста, введите имя игрока."	Introduce tu nombre de jugador.	Digite seu nome de jogador.	Inserisci il tuo nome giocatore.	プレイヤー名を入力してください。	プレイヤー名を入力してください。	???? ??? ?????.	???? ????? ??? ?????? ????? ??.	??????????????????????????	Vui l?ng nh?p t?n nh?n v?t c?a b?n.	L?tfen oyuncu ad?n?z? girin.	Wpisz swoj? nazw? gracza.	Sila masukkan nama pemain anda.	Silakan masukkan nama pemain Anda.
q01_placeholder	Enter your answer	Antwort eingeben	Vul je antwoord in	Saisissez votre r?ponse	Введите ваш ответ	Escribe tu respuesta	Digite sua resposta	Inserisci la tua risposta	??入?的回答	回答を入力してください	??? ?????	???? ??????	???????????????	Nh?p c?u tr? l?i c?a b?n	Cevab?n?z? girin	Wpisz swoj? odpowied?	Masukkan jawapan anda	Masukkan jawaban Anda
																		
q02_section	"Polar Invasion, etc"	Polar Invasion usw.	Polar Invasion e.d.	"Polar Invasion, etc."	Polar Invasion и др.	"Polar Invasion, etc."	"Polar Invasion, etc."	"Polar Invasion, ecc."	Polar Invasion など	Polar Invasion など	Polar Invasion ?	???? ????? ??????? ??? ?????	Polar Invasion ???	"Polar Invasion, v.v."	Polar Invasion vb.	Polar Invasion itp.	Polar Invasion dan lain-lain	Polar Invasion dan lainnya
q02_title	Please choose your first choice for the time slot.	Bitte w?hle deine erste Wunschzeit aus.	Kies je eerste voorkeurs tijdslot.	Veuillez choisir votre premier cr?neau horaire pr?f?r?.	"Пожалуйста, выберите желаемый первый временной интервал."	Elige tu primer horario preferido.	Escolha o seu primeiro hor?rio preferido.	Scegli la tua prima fascia oraria preferita.	第1希望の時間帯を1つ選んでください。	第1希望の時間帯を1つ選んでください。	? ??? ???? ??? ?????.	???? ?????? ????? ?????? ????? ????.	???????????????????????????????????????	Vui l?ng ch?n khung gi? ?u ti?n 1.	L?tfen ilk tercih etti?iniz zaman aral???n? se?in.	Wybierz sw?j pierwszy preferowany przedzia? czasowy.	Sila pilih slot masa pilihan pertama anda.	Silakan pilih jam pilihan pertama Anda.
q02_opt_A	Server Time 04:00 - 05:00	Serverzeit 04:00?05:00	Servertijd 04:00?05:00	Heure du serveur 04:00?05:00	Серверное время 04:00?05:00	Hora del servidor 04:00?05:00	Hor?rio do servidor 04:00?05:00	Ora server 04:00?05:00	服?器?? 04:00?05:00	サーバー時間 04:00～05:00	?? ?? 04:00?05:00	??? ?????? 04:00?05:00	??????????????? 04:00?05:00	Gi? m?y ch? 04:00?05:00	Sunucu saati 04:00?05:00	Czas serwera 04:00?05:00	Masa pelayan 04:00?05:00	Waktu server 04:00?05:00
q02_opt_B	Server Time 13:00 - 14:00	Serverzeit 13:00?14:00	Servertijd 13:00?14:00	Heure du serveur 13:00?14:00	Серверное время 13:00?14:00	Hora del servidor 13:00?14:00	Hor?rio do servidor 13:00?14:00	Ora server 13:00?14:00	服?器?? 13:00?14:00	サーバー時間 13:00～14:00	?? ?? 13:00?14:00	??? ?????? 13:00?14:00	??????????????? 13:00?14:00	Gi? m?y ch? 13:00?14:00	Sunucu saati 13:00?14:00	Czas serwera 13:00?14:00	Masa pelayan 13:00?14:00	Waktu server 13:00?14:00
q02_opt_C	Server Time 21:00 - 22:00	Serverzeit 21:00?22:00	Servertijd 21:00?22:00	Heure du serveur 21:00?22:00	Серверное время 21:00?22:00	Hora del servidor 21:00?22:00	Hor?rio do servidor 21:00?22:00	Ora server 21:00?22:00	服?器?? 21:00?22:00	サーバー時間 21:00～22:00	?? ?? 21:00?22:00	??? ?????? 21:00?22:00	??????????????? 21:00?22:00	Gi? m?y ch? 21:00?22:00	Sunucu saati 21:00?22:00	Czas serwera 21:00?22:00	Masa pelayan 21:00?22:00	Waktu server 21:00?22:00
q02_opt_D	Anytime	Jederzeit	Altijd	? tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	任何??	いつでも	??? ???	?? ?? ???	??????????	B?t k? l?c n?o	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja
																		
q03_section	"Elite War / Doom Arena / Zombie Uprise, etc"	Elite War / Doom Arena / Zombie Uprise usw.	Elite War / Doom Arena / Zombie Uprise e.d.	"Elite War / Doom Arena / Zombie Uprise, etc."	Elite War / Doom Arena / Zombie Uprise и др.	"Elite War / Doom Arena / Zombie Uprise, etc."	"Elite War / Doom Arena / Zombie Uprise, etc."	"Elite War / Doom Arena / Zombie Uprise, ecc."	Elite War / Doom Arena / Zombie Uprise 等	Elite War / Doom Arena / Zombie Uprise など	Elite War / Doom Arena / Zombie Uprise ?	Elite War / Doom Arena / Zombie Uprise ??? ????	Elite War / Doom Arena / Zombie Uprise ???	"Elite War / Doom Arena / Zombie Uprise, v.v."	Elite War / Doom Arena / Zombie Uprise vb.	Elite War / Doom Arena / Zombie Uprise itp.	Elite War / Doom Arena / Zombie Uprise dan lain-lain	Elite War / Doom Arena / Zombie Uprise dan lainnya
q03_title	Please choose your first choice for the time slot.	Bitte w?hle deine erste Wunschzeit aus.	Kies je eerste voorkeurs tijdslot.	Veuillez choisir votre premier cr?neau horaire pr?f?r?.	"Пожалуйста, выберите желаемый первый временной интервал."	Elige tu primer horario preferido.	Escolha o seu primeiro hor?rio preferido.	Scegli la tua prima fascia oraria preferita.	第1希望の時間帯を1つ選んでください。	第1希望の時間帯を1つ選んでください。	? ??? ???? ??? ?????.	???? ?????? ????? ?????? ????? ????.	???????????????????????????????????????	Vui l?ng ch?n khung gi? ?u ti?n 1.	L?tfen ilk tercih etti?iniz zaman aral???n? se?in.	Wybierz sw?j pierwszy preferowany przedzia? czasowy.	Sila pilih slot masa pilihan pertama anda.	Silakan pilih jam pilihan pertama Anda.
q03_opt_A	Server Time around 04:00 - 05:00	Serverzeit ca. 04:00?05:00	Servertijd rond 04:00?05:00	Heure du serveur vers 04:00?05:00	Серверное время около 04:00?05:00	Hora del servidor alrededor de 04:00?05:00	Hor?rio do servidor por volta de 04:00?05:00	Ora server intorno alle 04:00?05:00	服?器?? 大? 04:00?05:00	サーバー時間 おおよそ 04:00～05:00	?? ?? ?? 04:00?05:00	??? ?????? ??????? 04:00?05:00	????????????????????? 04:00?05:00	Gi? m?y ch? kho?ng 04:00?05:00	Sunucu saati yakla??k 04:00?05:00	Czas serwera oko?o 04:00?05:00	Masa pelayan sekitar 04:00?05:00	Waktu server sekitar 04:00?05:00
q03_opt_B	Server Time around 13:00 - 14:00	Serverzeit ca. 13:00?14:00	Servertijd rond 13:00?14:00	Heure du serveur vers 13:00?14:00	Серверное время около 13:00?14:00	Hora del servidor alrededor de 13:00?14:00	Hor?rio do servidor por volta de 13:00?14:00	Ora server intorno alle 13:00?14:00	服?器?? 大? 13:00?14:00	サーバー時間 おおよそ 13:00～14:00	?? ?? ?? 13:00?14:00	??? ?????? ??????? 13:00?14:00	????????????????????? 13:00?14:00	Gi? m?y ch? kho?ng 13:00?14:00	Sunucu saati yakla??k 13:00?14:00	Czas serwera oko?o 13:00?14:00	Masa pelayan sekitar 13:00?14:00	Waktu server sekitar 13:00?14:00
